261 -1.6 -2.05 2.6
262 -1.38 -2.405 2.92
263 -1.16 -2.76 3.24
264 -0.94 -3.115 3.56
265 -0.72 -3.47 3.88
266 -0.5 -3.825 4.2
267 -0.28 -4.18 4.52
268 -0.06 -4.535 4.84
269 0.16 -4.89 5.16
270 0.38 -5.245 5.48
271 -3.45 1.31667 -0.05
272 -3.23333 0.966667 0.233333
273 -3.01667 0.616667 0.516667
274 -2.8 0.266667 0.8
275 -2.58333 -0.0833333 1.08333
276 -2.36667 -0.433333 1.36667
277 -2.15 -0.783333 1.65
278 -1.93333 -1.13333 1.93333
279 -1.71667 -1.48333 2.21667
280 -1.5 -1.83333 2.5
281 -1.28333 -2.18333 2.78333
282 -1.06667 -2.53333 3.06667
283 -0.85 -2.88333 3.35
284 -0.633333 -3.23333 3.63333
285 -0.416667 -3.58333 3.91667
286 -0.2 -3.93333 4.2
287 0.0166667 -4.28333 4.48333
288 0.233333 -4.63333 4.76667
289 0.45 -4.98333 5.05
290 -3.32 1.48833 0.18
291 -3.10667 1.14333 0.426667
292 -2.89333 0.798333 0.673333
293 -2.68 0.453333 0.92
294 -2.46667 0.108333 1.16667
295 -2.25333 -0.236667 1.41333
296 -2.04 -0.581667 1.66
297 -1.82667 -0.926667 1.90667
298 -1.61333 -1.27167 2.15333
299 -1.4 -1.61667 2.4
300 -1.18667 -1.96167 2.64667
301 -0.973333 -2.30667 2.89333
302 -0.76 -2.65167 3.14
303 -0.546667 -2.99667 3.38667
304 -0.333333 -3.34167 3.63333
305 -0.12 -3.68667 3.88
306 0.0933333 -4.03167 4.12667
307 0.306667 -4.37667 4.37333
308 0.52 -4.72167 4.62
309 -3.19 1.66 0.41
310 -2.98 1.32 0.62
311 -2.77 0.98 0.83
312 -2.56 0.64 1.04
313 -2.35 0.3 1.25
314 -2.14 -0.04 1.46
315 -1.93 -0.38 1.67
316 -1.72 -0.72 1.88
317 -1.51 -1.06 2.09
318 -1.3 -1.4 2.3
319 -1.09 -1.74 2.51
320 -0.88 -2.08 2.72
321 -0.67 -2.42 2.93
322 -0.46 -2.76 3.14
323 -0.25 -3.1 3.35
324 -0.04 -3.44 3.56
325 0.17 -3.78 3.77
326 0.38 -4.12 3.98
327 0.59 -4.46 4.19
328 -3.06 1.83167 0.64
329 -2.85333 1.49667 0.813333
330 -2.64667 1.16167 0.986667
331 -2.44 0.826667 1.16
332 -2.23333 0.491667 1.33333
333 -2.02667 0.156667 1.50667
334 -1.82 -0.178333 1.68
335 -1.61333 -0.513333 1.85333
336 -1.40667 -0.848333 2.02667
337 -1.2 -1.18333 2.2
338 -0.993333 -1.51833 2.37333
339 -0.786667 -1.85333 2.54667
340 -0.58 -2.18833 2.72
341 -0.373333 -2.52333 2.89333
342 -0.166667 -2.85833 3.06667
343 0.04 -3.19333 3.24
344 0.246667 -3.52833 3.41333
345 0.453333 -3.86333 3.58667
346 0.66 -4.19833 3.76
347 -2.93 2.00333 0.87
348 -2.72667 1.67333 1.00667
349 -2.52333 1.34333 1.14333
350 -2.32 1.01333 1.28
351 -2.11667 0.683333 1.41667
352 -1.91333 0.353333 1.55333
353 -1.71 0.0233333 1.69
354 -1.50667 -0.306667 1.82667
355 -1.30333 -0.636667 1.96333
356 -1.1 -0.966667 2.1
357 -0.896667 -1.29667 2.23667
358 -0.693333 -1.62667 2.37333
359 -0.49 -1.95667 2.51
